product_id,product_name,unit_price,category,min_order_qty,_ingested_at,_source_file,_pipeline_version
P001,Product_1,32504,Office Supplies,3,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P002,Product_2,28412,Office Supplies,11,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P003,Product_3,22793,Appliances,1,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P004,Product_4,9318,Hardware,11,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P005,Product_5,78196,Electronics,17,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P006,Product_6,39353,Furniture,2,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P007,Product_7,48471,Furniture,18,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P008,Product_8,69021,Furniture,16,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P009,Product_9,15253,Appliances,15,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P010,Product_10,31278,Appliances,6,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P011,Product_11,69755,Hardware,17,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P012,Product_12,58756,Office Supplies,14,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P013,Product_13,67276,Furniture,18,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P014,Product_14,67264,Appliances,2,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P015,Product_15,16286,Hardware,18,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P016,Product_16,35332,Hardware,4,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P017,Product_17,60906,Appliances,16,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P018,Product_18,61213,Hardware,10,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P019,Product_19,11670,Furniture,15,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P020,Product_20,53478,Appliances,13,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P021,Product_21,70387,Appliances,7,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P022,Product_22,40495,Electronics,19,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P023,Product_23,16565,Office Supplies,20,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P024,Product_24,15054,Furniture,8,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P025,Product_25,7157,Office Supplies,4,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P026,Product_26,61460,Furniture,1,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P027,Product_27,21855,Furniture,17,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P028,Product_28,42086,Office Supplies,2,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
