receipt_id,shipment_id,product_id,received_quantity,actual_receipt_date,warehouse_id,status,_ingested_at,_source_file,_pipeline_version
RCP00001,SHP00001,P098,166,2023-08-21,WH-MUMBAI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0
RCP00002,SHP00002,P059,328,2023-04-26,WH-HYDERABAD,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0
RCP00003,SHP00003,P042,479,2024-10-29,WH-DELHI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0
RCP00004,SHP00004,P060,62,2024-09-03,WH-DELHI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0
RCP00005,SHP00005,P065,319,2023-08-15,WH-BANGALORE,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0
RCP00006,SHP00006,P080,276,2023-06-27,WH-BANGALORE,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0
RCP00007,SHP00007,P098,204,2024-08-15,WH-MUMBAI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0
RCP00008,SHP00008,P084,67,2023-03-09,WH-HYDERABAD,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0
RCP00009,SHP00009,P047,210,2024-08-27,WH-HYDERABAD,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0
RCP00010,SHP00010,P042,262,2024-04-19,WH-MUMBAI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0
RCP00011,SHP00011,P057,298,2023-11-01,WH-MUMBAI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0
RCP00012,SHP00012,P088,366,2024-07-28,WH-MUMBAI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0
RCP00013,SHP00013,P045,217,2024-05-02,WH-HYDERABAD,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0
RCP00014,SHP00014,P021,78,2024-10-03,WH-BANGALORE,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0
RCP00015,SHP00015,P040,126,2023-04-22,WH-MUMBAI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0
RCP00016,SHP00016,P080,444,2024-04-18,WH-BANGALORE,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0
RCP00017,SHP00017,P066,219,2023-10-12,WH-HYDERABAD,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0
RCP00018,SHP00018,P072,318,2023-02-10,WH-HYDERABAD,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0
RCP00019,SHP00019,P029,81,2024-04-23,WH-HYDERABAD,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0
RCP00020,SHP00020,P086,165,2024-11-26,WH-MUMBAI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0
RCP00021,SHP00021,P026,75,2024-05-11,WH-DELHI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0
RCP00022,SHP00022,P055,327,2023-12-12,WH-DELHI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0
RCP00023,SHP00023,P063,194,2024-09-16,WH-MUMBAI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0
RCP00024,SHP00024,P035,148,2024-04-29,WH-MUMBAI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0
RCP00025,SHP00025,P002,164,2024-10-04,WH-HYDERABAD,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0
RCP00026,SHP00026,P035,125,2024-10-25,WH-BANGALORE,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0
RCP00027,SHP00027,P027,298,2023-02-10,WH-BANGALORE,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0
RCP00028,SHP00028,P073,53,2024-05-11,WH-BANGALORE,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0
RCP00029,SHP00029,P100,142,2023-09-18,WH-BANGALORE,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0
RCP00030,SHP00030,P099,72,2023-06-16,WH-HYDERABAD,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0
RCP00031,SHP00031,P074,217,2023-12-23,WH-DELHI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0
RCP00032,SHP00032,P045,494,2024-02-29,WH-MUMBAI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0
RCP00033,SHP00033,P053,203,2024-05-19,WH-MUMBAI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0
RCP00034,SHP00034,P068,142,2024-07-31,WH-DELHI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0
RCP00035,SHP00035,P086,170,2024-06-09,WH-HYDERABAD,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0
RCP00036,SHP00036,P019,89,2023-11-29,WH-DELHI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0
RCP00037,SHP00037,P087,249,2023-04-23,WH-MUMBAI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0
RCP00038,SHP00038,P074,411,2024-08-10,WH-MUMBAI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0
RCP00039,SHP00039,P075,207,2024-07-26,WH-DELHI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0
RCP00040,SHP00040,P039,148,2023-12-13,WH-BANGALORE,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0
RCP00041,SHP00041,P037,429,2023-02-07,WH-DELHI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0
RCP00042,SHP00042,P048,168,2024-10-01,WH-HYDERABAD,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0
RCP00043,SHP00043,P089,397,2024-01-23,WH-HYDERABAD,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0
RCP00044,SHP00044,P054,452,2024-08-30,WH-DELHI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0
RCP00045,SHP00045,P057,441,2024-09-17,WH-MUMBAI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0
RCP00046,SHP00046,P015,478,2024-02-10,WH-DELHI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0
