shipment_id,supplier_id,product_id,shipped_quantity,dispatch_date,expected_delivery_date,status,destination_warehouse
SHP00001,S051,P098,166,2023-08-13,2023-08-20,DISPATCHED,WH-MUMBAI
SHP00002,S012,P059,328,2023-04-17,2023-04-22,DISPATCHED,WH-HYDERABAD
SHP00003,S002,P042,479,2024-10-24,2024-10-28,DISPATCHED,WH-DELHI
SHP00004,S028,P060,62,2024-08-26,2024-08-30,DISPATCHED,WH-DELHI
SHP00005,S009,P065,319,2023-08-09,2023-08-16,DISPATCHED,WH-BANGALORE
SHP00006,S030,P080,276,2023-06-22,2023-06-27,DISPATCHED,WH-BANGALORE
SHP00007,S092,P098,204,2024-08-10,2024-08-14,DISPATCHED,WH-MUMBAI
SHP00008,S098,P084,67,2023-03-04,2023-03-10,DISPATCHED,WH-HYDERABAD
SHP00009,S062,P047,210,2024-08-19,2024-08-24,DISPATCHED,WH-HYDERABAD
SHP00010,S081,P042,262,2024-04-10,2024-04-15,DISPATCHED,WH-MUMBAI
SHP00011,S001,P057,298,2023-10-27,2023-11-03,DISPATCHED,WH-MUMBAI
SHP00012,S092,P088,366,2024-07-20,2024-07-23,DISPATCHED,WH-MUMBAI
SHP00013,S044,P045,217,2024-04-28,2024-05-04,DISPATCHED,WH-HYDERABAD
SHP00014,S086,P021,78,2024-09-24,2024-09-30,DISPATCHED,WH-BANGALORE
SHP00015,S080,P040,126,2023-04-15,2023-04-20,DISPATCHED,WH-MUMBAI
SHP00016,S095,P080,444,2024-04-14,2024-04-17,DISPATCHED,WH-BANGALORE
SHP00017,S058,P066,219,2023-10-04,2023-10-07,DISPATCHED,WH-HYDERABAD
SHP00018,S071,P072,318,2023-02-01,2023-02-07,DISPATCHED,WH-HYDERABAD
SHP00019,S095,P029,81,2024-04-19,2024-04-26,DISPATCHED,WH-HYDERABAD
SHP00020,S004,P086,165,2024-11-19,2024-11-23,DISPATCHED,WH-MUMBAI
SHP00021,S093,P026,75,2024-05-03,2024-05-08,DISPATCHED,WH-DELHI
SHP00022,S005,P055,327,2023-12-03,2023-12-10,DISPATCHED,WH-DELHI
SHP00023,S032,P063,194,2024-09-12,2024-09-19,DISPATCHED,WH-MUMBAI
SHP00024,S084,P035,148,2024-04-20,2024-04-24,DISPATCHED,WH-MUMBAI
SHP00025,S018,P002,164,2024-09-30,2024-10-06,DISPATCHED,WH-HYDERABAD
SHP00026,S055,P035,125,2024-10-21,2024-10-27,DISPATCHED,WH-BANGALORE
SHP00027,S095,P027,298,2023-02-06,2023-02-13,DISPATCHED,WH-BANGALORE
SHP00028,S066,P073,53,2024-05-05,2024-05-12,DISPATCHED,WH-BANGALORE
SHP00029,S028,P100,142,2023-09-11,2023-09-15,DISPATCHED,WH-BANGALORE
SHP00030,S035,P099,72,2023-06-11,2023-06-16,DISPATCHED,WH-HYDERABAD
SHP00031,S006,P074,217,2023-12-14,2023-12-20,DISPATCHED,WH-DELHI
SHP00032,S064,P045,494,2024-02-23,2024-02-26,DISPATCHED,WH-MUMBAI
SHP00033,S075,P053,203,2024-05-12,2024-05-17,DISPATCHED,WH-MUMBAI
SHP00034,S096,P068,142,2024-07-23,2024-07-29,DISPATCHED,WH-DELHI
SHP00035,S022,P086,170,2024-06-05,2024-06-12,DISPATCHED,WH-HYDERABAD
SHP00036,S058,P019,89,2023-11-20,2023-11-25,DISPATCHED,WH-DELHI
SHP00037,S069,P087,249,2023-04-14,2023-04-19,DISPATCHED,WH-MUMBAI
SHP00038,S064,P074,411,2024-08-05,2024-08-10,DISPATCHED,WH-MUMBAI
SHP00039,S095,P075,207,2024-07-17,2024-07-20,DISPATCHED,WH-DELHI
SHP00040,S011,P039,148,2023-12-09,2023-12-12,DISPATCHED,WH-BANGALORE
SHP00041,S094,P037,429,2023-02-02,2023-02-09,DISPATCHED,WH-DELHI
SHP00042,S042,P048,168,2024-09-27,2024-10-01,DISPATCHED,WH-HYDERABAD
SHP00043,S065,P089,397,2024-01-19,2024-01-24,DISPATCHED,WH-HYDERABAD
SHP00044,S051,P054,452,2024-08-23,2024-08-27,DISPATCHED,WH-DELHI
SHP00045,S021,P057,441,2024-09-12,2024-09-16,DISPATCHED,WH-MUMBAI
SHP00046,S023,P015,478,2024-02-03,2024-02-07,DISPATCHED,WH-DELHI
SHP00047,S023,P080,353,2023-02-01,2023-02-05,DISPATCHED,WH-MUMBAI
SHP00048,S068,P052,397,2023-06-19,2023-06-23,DISPATCHED,WH-HYDERABAD
SHP00049,S077,P079,267,2023-01-26,2023-02-01,DISPATCHED,WH-HYDERABAD
SHP00050,S063,P051,356,2023-07-21,2023-07-27,DISPATCHED,WH-BANGALORE
SHP00051,S007,P007,436,2023-11-16,2023-11-20,DISPATCHED,WH-HYDERABAD
SHP00052,S043,P051,364,2024-09-23,2024-09-27,DISPATCHED,WH-HYDERABAD
SHP00053,S068,P006,424,2023-02-09,2023-02-13,DISPATCHED,WH-MUMBAI
SHP00054,S042,P092,224,2024-09-02,2024-09-08,DISPATCHED,WH-DELHI
SHP00055,S091,P091,357,2023-06-09,2023-06-12,DISPATCHED,WH-MUMBAI
SHP00056,S010,P016,463,2024-07-30,2024-08-05,DISPATCHED,WH-BANGALORE
SHP00057,S094,P090,134,2024-10-09,2024-10-14,DISPATCHED,WH-HYDERABAD
SHP00058,S043,P048,131,2024-06-24,2024-06-30,DISPATCHED,WH-HYDERABAD
SHP00059,S075,P033,412,2024-12-30,2025-01-02,DISPATCHED,WH-BANGALORE
SHP00060,S017,P081,205,2023-08-21,2023-08-27,DISPATCHED,WH-MUMBAI
SHP00061,S066,P034,432,2023-05-18,2023-05-23,DISPATCHED,WH-BANGALORE
SHP00062,S030,P057,376,2023-11-07,2023-11-10,DISPATCHED,WH-DELHI
SHP00063,S096,P008,363,2024-03-08,2024-03-11,DISPATCHED,WH-DELHI
SHP00064,S025,P035,347,2024-07-17,2024-07-21,DISPATCHED,WH-BANGALORE
SHP00065,S094,P016,200,2023-06-16,2023-06-21,DISPATCHED,WH-MUMBAI
SHP00066,S079,P092,160,2024-04-20,2024-04-27,DISPATCHED,WH-BANGALORE
SHP00067,S056,P002,219,2023-09-11,2023-09-16,DISPATCHED,WH-MUMBAI
SHP00068,S089,P060,435,2023-10-16,2023-10-22,DISPATCHED,WH-MUMBAI
SHP00069,S018,P072,204,2024-10-09,2024-10-14,DISPATCHED,WH-DELHI
SHP00070,S095,P004,282,2023-10-05,2023-10-10,DISPATCHED,WH-MUMBAI
SHP00071,S059,P043,340,2023-10-21,2023-10-28,DISPATCHED,WH-HYDERABAD
SHP00072,S093,P069,395,2023-04-05,2023-04-10,DISPATCHED,WH-DELHI
SHP00073,S090,P026,170,2023-12-21,2023-12-24,DISPATCHED,WH-HYDERABAD
SHP00074,S004,P052,245,2023-03-29,2023-04-02,DISPATCHED,WH-BANGALORE
SHP00075,S048,P073,438,2024-01-04,2024-01-11,DISPATCHED,WH-HYDERABAD
SHP00076,S091,P074,170,2023-11-15,2023-11-20,DISPATCHED,WH-DELHI
SHP00077,S014,P037,109,2023-09-23,2023-09-26,DISPATCHED,WH-BANGALORE
SHP00078,S095,P072,192,2024-09-04,2024-09-08,DISPATCHED,WH-MUMBAI
SHP00079,S089,P065,475,2024-12-30,2025-01-02,DISPATCHED,WH-MUMBAI
SHP00080,S055,P069,490,2024-05-28,2024-05-31,DISPATCHED,WH-DELHI
SHP00081,S030,P066,50,2024-07-24,2024-07-28,DISPATCHED,WH-DELHI
SHP00082,S050,P034,201,2024-01-17,2024-01-22,DISPATCHED,WH-BANGALORE
SHP00083,S049,P056,437,2024-05-03,2024-05-08,DISPATCHED,WH-HYDERABAD
SHP00084,S034,P065,500,2024-04-18,2024-04-25,DISPATCHED,WH-MUMBAI
SHP00085,S086,P007,248,2024-09-28,2024-10-03,DISPATCHED,WH-DELHI
SHP00086,S091,P060,320,2024-10-14,2024-10-19,DISPATCHED,WH-HYDERABAD
SHP00087,S061,P026,300,2024-06-07,2024-06-14,DISPATCHED,WH-HYDERABAD
SHP00088,S060,P096,425,2024-01-14,2024-01-21,DISPATCHED,WH-MUMBAI
SHP00089,S066,P039,309,2023-07-27,2023-07-31,DISPATCHED,WH-HYDERABAD
SHP00090,S011,P097,335,2023-08-08,2023-08-14,DISPATCHED,WH-HYDERABAD
SHP00091,S042,P096,334,2023-12-01,2023-12-07,DISPATCHED,WH-HYDERABAD
SHP00092,S005,P085,329,2024-08-13,2024-08-17,DISPATCHED,WH-DELHI
SHP00093,S022,P036,488,2024-06-14,2024-06-18,DISPATCHED,WH-DELHI
SHP00094,S036,P085,70,2023-09-23,2023-09-28,DISPATCHED,WH-BANGALORE
SHP00095,S060,P067,428,2023-11-03,2023-11-06,DISPATCHED,WH-HYDERABAD
SHP00096,S028,P041,399,2024-04-22,2024-04-29,DISPATCHED,WH-HYDERABAD
SHP00097,S072,P051,109,2024-10-13,2024-10-16,DISPATCHED,WH-BANGALORE
SHP00098,S015,P087,400,2024-12-19,2024-12-25,DISPATCHED,WH-HYDERABAD
SHP00099,S080,P004,458,2024-11-22,2024-11-26,DISPATCHED,WH-HYDERABAD
SHP00100,S042,P016,464,2024-11-14,2024-11-19,DISPATCHED,WH-DELHI
SHP00101,S030,P100,85,2023-08-24,2023-08-29,DISPATCHED,WH-MUMBAI
SHP00102,S020,P069,355,2023-05-30,2023-06-06,DISPATCHED,WH-BANGALORE
SHP00103,S099,P072,370,2023-09-08,2023-09-12,DISPATCHED,WH-HYDERABAD
SHP00104,S001,P084,215,2023-06-11,2023-06-18,DISPATCHED,WH-MUMBAI
SHP00105,S035,P020,384,2024-09-28,2024-10-02,DISPATCHED,WH-HYDERABAD
SHP00106,S096,P078,317,2024-07-10,2024-07-14,DISPATCHED,WH-BANGALORE
SHP00107,S082,P088,299,2023-03-31,2023-04-07,DISPATCHED,WH-MUMBAI
SHP00108,S095,P095,119,2023-05-29,2023-06-05,DISPATCHED,WH-HYDERABAD
SHP00109,S065,P092,147,2023-08-30,2023-09-06,DISPATCHED,WH-MUMBAI
SHP00110,S006,P049,95,2024-09-14,2024-09-18,DISPATCHED,WH-MUMBAI
SHP00111,S085,P030,293,2024-03-10,2024-03-17,DISPATCHED,WH-MUMBAI
SHP00112,S083,P091,189,2024-09-11,2024-09-16,DISPATCHED,WH-MUMBAI
SHP00113,S048,P054,297,2024-07-17,2024-07-21,DISPATCHED,WH-MUMBAI
SHP00114,S078,P052,201,2024-06-20,2024-06-24,DISPATCHED,WH-BANGALORE
SHP00115,S074,P005,489,2024-04-17,2024-04-24,DISPATCHED,WH-BANGALORE
SHP00116,S073,P070,53,2024-03-25,2024-03-29,DISPATCHED,WH-MUMBAI
SHP00117,S033,P001,144,2023-04-06,2023-04-09,DISPATCHED,WH-MUMBAI
SHP00118,S062,P078,142,2023-10-25,2023-11-01,DISPATCHED,WH-BANGALORE
SHP00119,S065,P049,458,2023-08-25,2023-08-29,DISPATCHED,WH-BANGALORE
SHP00120,S070,P019,104,2024-09-09,2024-09-16,DISPATCHED,WH-BANGALORE
SHP00121,S053,P005,182,2024-09-29,2024-10-04,DISPATCHED,WH-BANGALORE
SHP00122,S005,P069,311,2024-04-16,2024-04-20,DISPATCHED,WH-BANGALORE
SHP00123,S060,P054,346,2023-08-17,2023-08-20,DISPATCHED,WH-HYDERABAD
SHP00124,S048,P036,211,2024-02-23,2024-02-26,DISPATCHED,WH-DELHI
SHP00125,S043,P091,92,2023-04-11,2023-04-15,DISPATCHED,WH-MUMBAI
SHP00126,S060,P031,228,2024-02-26,2024-03-02,DISPATCHED,WH-MUMBAI
SHP00127,S005,P097,362,2024-03-26,2024-03-29,DISPATCHED,WH-BANGALORE
SHP00128,S019,P079,297,2024-09-06,2024-09-12,DISPATCHED,WH-DELHI
SHP00129,S059,P040,67,2024-03-25,2024-03-31,DISPATCHED,WH-DELHI
SHP00130,S078,P088,86,2024-10-07,2024-10-10,DISPATCHED,WH-HYDERABAD
SHP00131,S009,P084,203,2023-01-16,2023-01-19,DISPATCHED,WH-BANGALORE
SHP00132,S078,P055,129,2023-05-28,2023-06-02,DISPATCHED,WH-DELHI
SHP00133,S094,P064,132,2024-11-12,2024-11-19,DISPATCHED,WH-BANGALORE
SHP00134,S061,P035,310,2024-10-23,2024-10-27,DISPATCHED,WH-HYDERABAD
SHP00135,S011,P064,371,2023-12-15,2023-12-22,DISPATCHED,WH-BANGALORE
SHP00136,S098,P022,348,2023-02-13,2023-02-20,DISPATCHED,WH-MUMBAI
SHP00137,S052,P008,496,2024-11-06,2024-11-13,DISPATCHED,WH-BANGALORE
SHP00138,S042,P018,222,2023-11-10,2023-11-15,DISPATCHED,WH-MUMBAI
SHP00139,S098,P061,350,2023-09-10,2023-09-16,DISPATCHED,WH-HYDERABAD
SHP00140,S024,P084,197,2023-08-16,2023-08-21,DISPATCHED,WH-BANGALORE
SHP00141,S096,P089,179,2023-03-13,2023-03-17,DISPATCHED,WH-HYDERABAD
SHP00142,S076,P059,66,2024-12-21,2024-12-26,DISPATCHED,WH-BANGALORE
SHP00143,S063,P078,196,2023-07-01,2023-07-06,DISPATCHED,WH-MUMBAI
SHP00144,S100,P060,445,2023-04-04,2023-04-09,DISPATCHED,WH-DELHI
SHP00145,S062,P071,122,2023-01-17,2023-01-24,DISPATCHED,WH-HYDERABAD
SHP00146,S039,P054,57,2024-09-30,2024-10-07,DISPATCHED,WH-BANGALORE
SHP00147,S071,P098,155,2024-07-25,2024-07-28,DISPATCHED,WH-HYDERABAD
SHP00148,S028,P015,106,2023-03-06,2023-03-09,DISPATCHED,WH-MUMBAI
SHP00149,S017,P038,116,2024-05-17,2024-05-23,DISPATCHED,WH-BANGALORE
SHP00150,S064,P028,464,2023-10-30,2023-11-05,DISPATCHED,WH-BANGALORE
SHP00151,S055,P011,168,2023-01-01,2023-01-08,DISPATCHED,WH-HYDERABAD
SHP00152,S018,P078,62,2024-07-21,2024-07-25,DISPATCHED,WH-MUMBAI
SHP00153,S001,P058,237,2023-04-09,2023-04-12,DISPATCHED,WH-HYDERABAD
SHP00154,S062,P065,298,2023-07-02,2023-07-06,DISPATCHED,WH-HYDERABAD
SHP00155,S086,P054,93,2023-05-23,2023-05-28,DISPATCHED,WH-BANGALORE
SHP00156,S089,P046,223,2024-03-30,2024-04-03,DISPATCHED,WH-HYDERABAD
SHP00157,S008,P009,372,2024-11-03,2024-11-09,DISPATCHED,WH-HYDERABAD
SHP00158,S081,P077,336,2024-02-29,2024-03-05,DISPATCHED,WH-DELHI
SHP00159,S056,P094,63,2023-04-10,2023-04-17,DISPATCHED,WH-MUMBAI
SHP00160,S086,P072,340,2024-04-17,2024-04-23,DISPATCHED,WH-BANGALORE
SHP00161,S091,P025,430,2023-10-31,2023-11-07,DISPATCHED,WH-MUMBAI
SHP00162,S070,P051,230,2024-03-31,2024-04-03,DISPATCHED,WH-BANGALORE
SHP00163,S065,P058,201,2024-03-18,2024-03-21,DISPATCHED,WH-HYDERABAD
SHP00164,S053,P097,174,2024-09-29,2024-10-02,DISPATCHED,WH-DELHI
SHP00165,S069,P038,73,2023-04-07,2023-04-13,DISPATCHED,WH-DELHI
SHP00166,S078,P055,319,2023-07-25,2023-07-31,DISPATCHED,WH-DELHI
